"","raster","pixels","area.m2","area.km2","year"
"1","X1986_binary",5904,3690000,3.69,NA
"2","X1987_binary",14263,8914375,8.914375,NA
"3","X1988_binary",17300,10812500,10.8125,NA
"4","X1989_binary",60289,37680625,37.680625,NA
"5","X1990_binary",48561,30350625,30.350625,NA
"6","X1991_binary",24525,15328125,15.328125,NA
"7","X1992_binary",27018,16886250,16.88625,NA
"8","X1993_binary",36535,22834375,22.834375,NA
"9","X1994_binary",19440,12150000,12.15,NA
"10","X1995_binary",20853,13033125,13.033125,NA
"11","X1996_binary",22082,13801250,13.80125,NA
"12","X1997_binary",22526,14078750,14.07875,NA
"13","X1998_binary",52550,32843750,32.84375,NA
"14","X1999_binary",21047,13154375,13.154375,NA
"15","X2000_binary",18853,11783125,11.783125,NA
"16","X2001_binary",15941,9963125,9.963125,NA
"17","X2002_binary",11149,6968125,6.968125,NA
"18","X2003_binary",7985,4990625,4.990625,NA
"19","X2004_binary",2118,1323750,1.32375,NA
"20","X2005_binary",3117,1948125,1.948125,NA
"21","X2006_binary",5449,3405625,3.405625,NA
"22","X2007_binary",1024,640000,0.64,NA
"23","X2008_binary",2754,1721250,1.72125,NA
"24","X2009_binary",592,370000,0.37,NA
"25","X2010_binary",16951,10594375,10.594375,NA
"26","X2011_binary",25980,16237500,16.2375,NA
"27","X2012_binary",34623,21639375,21.639375,NA
"28","X2013_binary",25646,16028750,16.02875,NA
"29","X2014_binary",9196,5747500,5.7475,NA
"30","X2015_binary",16347,10216875,10.216875,NA
"31","X2016_binary",50096,31310000,31.31,NA
"32","X2017_binary",23309,14568125,14.568125,NA
"33","X2018_binary",9165,5728125,5.728125,NA
"34","X2019_binary",6518,4073750,4.07375,NA
"35","X2020_binary",17573,10983125,10.983125,NA
