"","VegeType","Booligal","Chowilla_Lindsay_Walpolla","Cumbung","Gwydir","Hattah_lakes","Lowbidgee","Macquarie_marshes","Paroo_overflow_wetlands","Renmark","Yantabulla"
"1","Other",16359.0615052,1030.18077439998,3586.22124349999,4397.14955319999,657.015548,4502.85281880001,30895.8958181,6892.25586889999,315.217999900001,3755.0571218
"2","Chenopod low open shrubland - ephemeral partly derived forbland saline wetland",NA,NA,NA,NA,NA,NA,11512.6918603999,NA,NA,NA
"3","Wetland vegetation",NA,6322.90781830001,NA,NA,1840.2266007,NA,NA,NA,9093.6348899,NA
"4","Grassland wetland",NA,NA,NA,8496.68667019999,NA,NA,NA,NA,NA,NA
"5","Riparian Scrubs or Swampy Scrubs and Woodlands",NA,4231.3304167,NA,NA,NA,NA,NA,NA,NA,NA
"6","Canegrass swamp tall grassland wetland",NA,NA,NA,NA,NA,NA,NA,85008.5131197,NA,NA
"7","Lignum shrubland wetland",NA,NA,NA,NA,NA,34657.4551856999,NA,33720.4718834,NA,NA
"8","Nitre Goosefoot shrubland wetland",156113.481962599,NA,4951.4210125,NA,NA,36514.1850063999,NA,NA,NA,NA
"9","River Red Gum - Black Box woodland wetland",NA,NA,5886.0408868,NA,NA,NA,NA,NA,NA,NA
"10","Coolabah open woodland wetland",NA,NA,NA,82678.3234646003,NA,NA,29771.1187097998,NA,NA,NA
"11","Coolabah - River Coobah - Lignum woodland wetland",NA,NA,NA,29207.5364669999,NA,NA,NA,NA,NA,56036.9973615
"12","River Red gum tall open forest or woodland wetland",19610.2241019,19487.9860869357,12396.6697138999,11045.1409620999,7703.03707623579,38621.1356134999,56522.053004,NA,NA,NA
"13","Black Box woodland wetland",65798.4252987,48700.1126320642,10522.1480442,19731.7473728,19666.9941475641,46799.2911082999,68569.4328579001,15878.5127144,NA,4004.0804752
