"","ANAE_TYPE","Booligal","Chowilla_Lindsay_Walpolla","Cumbung","Gwydir","Hattah_lakes","Lowbidgee","Macquarie_marshes","Paroo_overflow_wetlands","Renmark","Yantabulla"
"1","Other",21562.9127535,20123.9195816,2957.17523479999,9435.27259040003,4835.19219,15749.502419,16526.6339353,2027.9564622,5464.88489179999,1024.9566632
"2","Lp1.1: Permanent lake",NA,11733.2856395,NA,NA,NA,NA,NA,10271.8378916,2553.7927085,NA
"3","Lt1.1: Temporary lake",NA,NA,NA,NA,NA,NA,NA,4838.9398246,NA,NA
"4","Rp1.4: Permanent lowland stream",NA,5255.6072445,NA,NA,1193.7638254,NA,NA,NA,2152.376011,NA
"5","Pp4.2: Permanent wetland",NA,NA,NA,NA,NA,NA,18165.1573248,NA,NA,NA
"6","Pt4.1: Floodplain or riparian wetland",NA,NA,NA,NA,NA,NA,NA,NA,3036.5872998,NA
"7","Pt2.2.2: Temporary sedge/grass/forb marsh",NA,NA,NA,8136.4404073,NA,NA,13580.5656450999,NA,NA,NA
"8","Pt2.3.2: Freshwater meadow",NA,6827.2245889,NA,NA,NA,NA,NA,NA,NA,NA
"9","Pp2.1.2: Permanent tall emergent marsh",NA,NA,3449.0287238,NA,NA,NA,NA,NA,NA,NA
"10","Pt1.7.1: Lignum riparian zone or floodplain",NA,12356.6267789999,NA,NA,NA,42075.8152589,NA,NA,5462.8038236,NA
"11","Pt1.8.1: Riparian or floodplain shrubland",86206.9895210001,NA,2065.32181509999,NA,NA,12418.0157691999,15485.0599313999,NA,2557.82055059999,NA
"12","Pt1.8.2: Temporary shrub swamp",NA,NA,NA,NA,NA,NA,NA,16622.5689779,NA,NA
"13","Pt1.3.1: Coolibah riparian zone or floodplain",NA,NA,NA,111111.2529092,NA,NA,32224.9495111999,NA,NA,NA
"14","Pt1.6.2: Temporary woodland swamp",NA,NA,NA,NA,NA,NA,NA,38387.854006,NA,34649.3329567
"15","Pt1.1.1: River red gum riparian zone or floodplain",29128.2097720001,10923.4801764999,21761.2131951,10316.7563459,6640.47922399999,30159.6893411999,41196.0436515001,NA,5669.6857835,NA
"16","Pt1.2.1: Black box riparian zone or floodplain",62473.1827130999,27124.0592737999,10555.9178406,19162.9350792999,7658.4179989,24686.8746774999,67288.8351614,NA,6590.1851932,NA
