SurvYear,Name,MDBWetland,Subwetland,CommonName,Scientific,ReplicateC,Count,Nest,Broods,BreedingIn
2010,NA,Great Cumbung Swamp,Bunumburt Lake,Grey Teal,Anas gracilis,0,2,0,0,0
2010,NA,Great Cumbung Swamp,Bunumburt Lake,Hardhead,Aythya australis,0,8,0,0,0
2010,NA,Great Cumbung Swamp,Bunumburt Lake,Straw-necked Ibis,Threskiornis spinicollis,0,70,0,0,0
2010,NA,Great Cumbung Swamp,Clear Lake,Straw-necked Ibis,Threskiornis spinicollis,0,40,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Australasian Darter,Anhinga novaehollandiae,0,5,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Australasian Swamphen,Porphyrio melanotus melanotus,0,5,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Australian Pelican,Pelecanus conspicillatus,0,258,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Australian Pied Cormorant,Phalacrocorax varius,0,10,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Australian White Ibis,Threskiornis molucca,0,1002,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Black Swan,Cygnus atratus,0,191,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Black-tailed Nativehen,Tribonyx ventralis,0,1570,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Egrets,Ardea/Egretta sp.,0,176,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Eurasian Coot,Fulica atra,0,160,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Glossy Ibis,Plegadis falcinellus,0,5,0,0,0
2010,NA,Great Cumbung Swamp,Cumbung Swamp Floodplain,Great Cormorant,Phalacrocorax carbo,0,46,0,0,0
