SurvYear,Scientific,CommonName,Count,Nest,Broods,Breeding
2010,Anas gracilis,Grey Teal,2703,0,0,0
2010,Anas superciliosa,Pacific Black Duck,300,0,0,0
2010,Anhinga novaehollandiae,Australasian Darter,5,0,0,0
2010,Ardea pacifica,White-necked Heron,114,0,0,0
2010,Ardea/Egretta sp.,Egrets,176,0,0,0
2010,Aythya australis,Hardhead,592,0,0,0
2010,Biziura lobata,Musk Duck,5,0,0,0
2010,Chenonetta jubata,Wood (Maned) Duck,382,0,0,0
2010,Chlidonias hybrida,Whiskered Tern,15,0,0,0
2010,Cygnus atratus,Black Swan,191,0,0,0
2010,Dendrocygna eytoni,Plumed Whistling Duck,31,0,0,0
2010,Egretta novaehollandiae,White-faced Heron,5,0,0,0
2010,Fulica atra,Eurasian Coot,160,0,0,0
2010,Himantopus luecocephalus,Pied Stilt,191,0,0,0
2010,Microcarbo melanoleucos,Little Pied Cormorant,5,0,0,0
2010,Pelecanus conspicillatus,Australian Pelican,258,0,0,0
2010,Phalacrocorax carbo,Great Cormorant,46,0,0,0
2010,Phalacrocorax sulcirostris,Little Black Cormorant,238,0,0,0
2010,Phalacrocorax varius,Australian Pied Cormorant,10,0,0,0
2010,Plegadis falcinellus,Glossy Ibis,5,0,0,0
2010,Podiceps cristatus,Great Crested Grebe,5,0,0,0
2010,Porphyrio melanotus melanotus,Australasian Swamphen,5,0,0,0
2010,Threskiornis molucca,Australian White Ibis,1002,0,0,0
2010,Threskiornis spinicollis,Straw-necked Ibis,1613,0,0,0
2010,Tribonyx ventralis,Black-tailed Nativehen,1570,0,0,0
2010,small grebe sp.,Small Grebes,5,0,0,0
2010,small wader sp.,Small Waders,5,0,0,0
2011,Anas gracilis,Grey Teal,19799,0,0,0
2011,Anas superciliosa,Pacific Black Duck,680,0,0,0
2011,Anhinga novaehollandiae,Australasian Darter,60,0,0,0
2011,Ardea alba,Great Egret,225,0,0,0
2011,Ardea pacifica,White-necked Heron,51,0,0,0
2011,Ardea/Egretta sp.,Egrets,419,0,0,0
2011,Aythya australis,Hardhead,20,0,0,0
2011,Chenonetta jubata,Wood (Maned) Duck,1769,0,0,0
2011,Chlidonias hybrida,Whiskered Tern,84,0,0,0
2011,Cygnus atratus,Black Swan,611,0,3,3
2011,Egretta novaehollandiae,White-faced Heron,27,0,0,0
2011,Fulica atra,Eurasian Coot,5663,0,0,0
2011,Gelochelidon nilotica,Gull-billed Tern,58,0,0,0
2011,Himantopus luecocephalus,Pied Stilt,909,0,0,0
2011,Malacorhynchus membranaceus,Pink-eared Duck,697,0,0,0
2011,Microcarbo melanoleucos,Little Pied Cormorant,12,0,0,0
2011,Nycticorax caledonicus,Nankeen Night Heron,8,0,0,0
2011,Pelecanus conspicillatus,Australian Pelican,939,0,0,0
2011,Phalacrocorax carbo,Great Cormorant,468,0,0,0
2011,Phalacrocorax sulcirostris,Little Black Cormorant,11,0,0,0
2011,Phalacrocorax varius,Australian Pied Cormorant,28,0,0,0
2011,Platalea flavipes,Yellow-billed Spoonbill,73,0,0,0
2011,Platalea regia,Royal Spoonbill,20,0,0,0
2011,Plegadis falcinellus,Glossy Ibis,108,0,0,0
2011,Recurvirostra novaehollandiae,Red-necked Avocet,145,0,0,0
2011,Tadorna tadornoides,Australian Shelduck (Mountain Duck),1004,0,0,0
2011,Threskiornis molucca,Australian White Ibis,11,0,0,0
2011,Tribonyx ventralis,Black-tailed Nativehen,410,0,0,0
2011,small wader sp.,Small Waders,279,0,0,0
2012,Anas gracilis,Grey Teal,3771,0,0,0
2012,Anas superciliosa,Pacific Black Duck,486,0,0,0
2012,Anhinga novaehollandiae,Australasian Darter,12,0,0,0
2012,Ardea alba,Great Egret,83,0,0,0
2012,Ardea pacifica,White-necked Heron,831,0,0,0
2012,Ardea/Egretta sp.,Egrets,1976,0,0,0
2012,Aythya australis,Hardhead,702,0,0,0
2012,Chenonetta jubata,Wood (Maned) Duck,1256,0,0,0
2012,Chlidonias hybrida,Whiskered Tern,403,0,0,0
2012,Cygnus atratus,Black Swan,268,0,2,2
2012,Egretta novaehollandiae,White-faced Heron,72,0,0,0
2012,Fulica atra,Eurasian Coot,5516,0,0,0
2012,Gelochelidon nilotica,Gull-billed Tern,54,0,0,0
2012,Himantopus luecocephalus,Pied Stilt,18,0,0,0
2012,Microcarbo melanoleucos,Little Pied Cormorant,8,0,0,0
2012,Nycticorax caledonicus,Nankeen Night Heron,25,0,0,0
2012,Pelecanus conspicillatus,Australian Pelican,1264,0,0,0
2012,Phalacrocorax carbo,Great Cormorant,1193,0,0,0
2012,Phalacrocorax sulcirostris,Little Black Cormorant,643,0,0,0
2012,Phalacrocorax varius,Australian Pied Cormorant,6,0,0,0
2012,Platalea flavipes,Yellow-billed Spoonbill,170,0,0,0
2012,Plegadis falcinellus,Glossy Ibis,365,0,0,0
2012,Porphyrio melanotus melanotus,Australasian Swamphen,671,0,0,0
2012,Threskiornis molucca,Australian White Ibis,127,42,0,42
2012,Threskiornis spinicollis,Straw-necked Ibis,1834,0,0,0
2012,Tribonyx ventralis,Black-tailed Nativehen,1052,0,0,0
2012,Vanellus miles,Masked Lapwing,6,0,0,0
2012,small grebe sp.,Small Grebes,50,0,0,0
2013,Anas gracilis,Grey Teal,7240,0,0,0
2013,Anas superciliosa,Pacific Black Duck,287,0,0,0
2013,Ardea pacifica,White-necked Heron,4,0,0,0
2013,Ardea/Egretta sp.,Egrets,12,0,0,0
2013,Chenonetta jubata,Wood (Maned) Duck,503,0,0,0
2013,Chroicocephalus novaehollandiae,Silver Gull,4,0,0,0
2013,Cygnus atratus,Black Swan,12,0,0,0
2013,Egretta novaehollandiae,White-faced Heron,4,0,0,0
2013,Gelochelidon nilotica,Gull-billed Tern,4,0,0,0
2013,Himantopus luecocephalus,Pied Stilt,387,0,0,0
2013,Pelecanus conspicillatus,Australian Pelican,1078,0,0,0
2013,Phalacrocorax carbo,Great Cormorant,12,0,0,0
2013,Phalacrocorax sulcirostris,Little Black Cormorant,15,0,0,0
2013,Platalea flavipes,Yellow-billed Spoonbill,32,0,0,0
2013,Recurvirostra novaehollandiae,Red-necked Avocet,774,0,0,0
2013,Tadorna tadornoides,Australian Shelduck (Mountain Duck),89,0,0,0
2013,Threskiornis spinicollis,Straw-necked Ibis,4,0,0,0
2013,Vanellus miles,Masked Lapwing,8,0,0,0
2013,NA,Zero Count,0,0,0,0
2014,Anas gracilis,Grey Teal,2434,0,0,0
2014,Anas superciliosa,Pacific Black Duck,17,0,0,0
2014,Ardea/Egretta sp.,Egrets,17,0,0,0
2014,Chenonetta jubata,Wood (Maned) Duck,7,0,0,0
2014,Fulica atra,Eurasian Coot,3,0,0,0
2014,Himantopus luecocephalus,Pied Stilt,282,0,0,0
2014,Pelecanus conspicillatus,Australian Pelican,1317,0,0,0
2014,Phalacrocorax sulcirostris,Little Black Cormorant,27,0,0,0
2014,Platalea flavipes,Yellow-billed Spoonbill,3,0,0,0
2014,Recurvirostra novaehollandiae,Red-necked Avocet,1683,0,0,0
2014,Vanellus miles,Masked Lapwing,27,0,0,0
2014,NA,Zero Count,0,0,0,0
2015,Anas gracilis,Grey Teal,2331,0,0,0
2015,Anas superciliosa,Pacific Black Duck,62,0,0,0
2015,Ardea pacifica,White-necked Heron,116,0,0,0
2015,Ardea/Egretta sp.,Egrets,538,0,0,0
2015,Aythya australis,Hardhead,44,0,0,0
2015,Chenonetta jubata,Wood (Maned) Duck,7,0,0,0
2015,Chlidonias hybrida,Whiskered Tern,5,0,0,0
2015,Cladorhynchus leucocephalus,Banded Stilt,1,0,0,0
2015,Cygnus atratus,Black Swan,73,0,0,0
2015,Fulica atra,Eurasian Coot,734,0,0,0
2015,Himantopus luecocephalus,Pied Stilt,615,0,0,0
2015,Malacorhynchus membranaceus,Pink-eared Duck,309,0,0,0
2015,Pelecanus conspicillatus,Australian Pelican,2433,0,0,0
2015,Phalacrocorax carbo,Great Cormorant,158,0,0,0
2015,Phalacrocorax sulcirostris,Little Black Cormorant,1,0,0,0
2015,Platalea flavipes,Yellow-billed Spoonbill,953,0,0,0
2015,Plegadis falcinellus,Glossy Ibis,1203,0,0,0
2015,Tadorna tadornoides,Australian Shelduck (Mountain Duck),35,0,0,0
2015,Tern sp.,Unidentified Tern,10,0,0,0
